date,price,ma_200,simplified_mvrv,mvrv_z_score,market_cap,hash_rate,rhodl_proxy,fear_greed_index
2025-03-05,87310.80531078295,,,,1774644795393.75,736515775.3708757,,20
2025-03-05,87310.80531078295,,,,1790519656365.625,736515775.3708757,,20
2025-03-06,90604.08098523637,,,,1818353586837.5,934385685.1720064,,25
2025-03-06,90604.08098523637,,,,1815248698518.75,934385685.1720064,,25
2025-03-06,90604.08098523637,,,,1815475442450.0,934385685.1720064,,25
2025-03-06,90604.08098523637,,,,1791644615400.0,934385685.1720064,,25
2025-03-06,90604.08098523637,,,,1770451380237.5,934385685.1720064,,25
2025-03-07,90001.40087607042,,,,1729503971612.5,780486866.4377937,,34
2025-03-07,90001.40087607042,,,,1753907228800.0,780486866.4377937,,34
2025-03-07,90001.40087607042,,,,1769088142018.75,780486866.4377937,,34
2025-03-07,90001.40087607042,,,,1734169556650.0,780486866.4377937,,34
2025-03-07,90001.40087607042,,,,1707560953537.5,780486866.4377937,,34
2025-03-08,86773.33597555371,,,,1714213339475.0,753004934.5209701,,28
2025-03-08,86773.33597555371,,,,1717771704700.0,753004934.5209701,,28
2025-03-08,86773.33597555371,,,,1717204639287.5,753004934.5209701,,28
2025-03-08,86773.33597555371,,,,1711341875418.75,753004934.5209701,,28
2025-03-08,86773.33597555371,,,,1713987906400.0,753004934.5209701,,28
2025-03-09,86142.9833586432,,,,1715384404962.5,878012411.8108668,,27
2025-03-09,86142.9833586432,,,,1712020675650.0,878012411.8108668,,27
2025-03-09,86142.9833586432,,,,1692690197306.25,878012411.8108668,,27
2025-03-09,86142.9833586432,,,,1656658866100.0,878012411.8108668,,27
2025-03-09,86142.9833586432,,,,1654068361418.75,878012411.8108668,,27
2025-03-10,80751.13893300897,,,,1628707582225.0,858547242.188255,,20
2025-03-10,80751.13893300897,,,,1636986394618.75,858547242.188255,,20
2025-03-10,80751.13893300897,,,,1654944716400.0,858547242.188255,,20
2025-03-10,80751.13893300897,,,,1571586059793.75,858547242.188255,,20
2025-03-10,80751.13893300897,,,,1578198572025.0,858547242.188255,,20
2025-03-11,78783.94057934263,,,,1570708332825.0,769347528.7141508,,24
2025-03-11,78783.94057934263,,,,1601222409650.0,769347528.7141508,,24
2025-03-11,78783.94057934263,,,,1617157778818.75,769347528.7141508,,24
2025-03-11,78783.94057934263,,,,1641543205575.0,769347528.7141508,,24
2025-03-11,78783.94057934263,,,,1652579533412.5,769347528.7141508,,24
2025-03-12,82799.1080292053,,,,1640428349090.625,852972260.0961236,,34
2025-03-12,82799.1080292053,,,,1639702179675.0,852972260.0961236,,34
2025-03-12,82799.1080292053,,,,1649786536462.5,852972260.0961236,,34
2025-03-12,82799.1080292053,,,,1629720368250.0,852972260.0961236,,34
2025-03-12,82799.1080292053,,,,1662100468650.0,852972260.0961236,,34
2025-03-13,83884.24578828987,,,,1665559809356.25,886422152.6489124,,45
2025-03-13,83884.24578828987,,,,1650789700528.125,886422152.6489124,,45
2025-03-13,83884.24578828987,,,,1652047189987.5,886422152.6489124,,45
2025-03-13,83884.24578828987,,,,1610359132187.5,886422152.6489124,,45
2025-03-13,83884.24578828987,,,,1609950430128.125,886422152.6489124,,45
2025-03-14,81098.90052436228,,,,1624716467046.875,791647457.0826768,,27
2025-03-14,81098.90052436228,,,,1631151233403.125,791647457.0826768,,27
2025-03-14,81098.90052436228,,,,1655736718212.5,791647457.0826768,,27
2025-03-14,81098.90052436228,,,,1678219726253.125,791647457.0826768,,27
2025-03-14,81098.90052436228,,,,1676581188931.25,791647457.0826768,,27
2025-03-15,83971.70916064628,,,,1684087523300.0,735897636.1613616,,46
2025-03-15,83971.70916064628,,,,1667908360250.0,735897636.1613616,,46
2025-03-15,83971.70916064628,,,,1678608522184.375,735897636.1613616,,46
2025-03-15,83971.70916064628,,,,1676454184406.25,735897636.1613616,,46
2025-03-16,84391.69087647168,,,,1666643361750.0,808372403.3590714,,30
2025-03-16,84391.69087647168,,,,1677303999150.0,808372403.3590714,,30
2025-03-16,84391.69087647168,,,,1647039691075.0,808372403.3590714,,30
2025-03-16,84391.69087647168,,,,1657482121400.0,808372403.3590714,,30
2025-03-16,84391.69087647168,,,,1648959689650.0,808372403.3590714,,30
2025-03-17,82610.61750343916,,,,1659957689325.0,780497492.8984137,,32
2025-03-17,82610.61750343916,,,,1660025047987.5,780497492.8984137,,32
2025-03-17,82610.61750343916,,,,1655232071181.25,780497492.8984137,,32
2025-03-17,82610.61750343916,,,,1679839261400.0,780497492.8984137,,32
2025-03-17,82610.61750343916,,,,1669888376406.25,780497492.8984137,,32
2025-03-18,84075.36559694471,,,,1653232022312.5,791647457.0826768,,34
2025-03-18,84075.36559694471,,,,1645661535131.25,791647457.0826768,,34
2025-03-18,84075.36559694471,,,,1628211365975.0,791647457.0826768,,34
2025-03-18,84075.36559694471,,,,1632365342087.5,791647457.0826768,,34
2025-03-19,82780.03048688271,,,,1650585040000.0,847397278.0039921,,32
2025-03-19,82780.03048688271,,,,1649243797775.0,847397278.0039921,,32
2025-03-19,82780.03048688271,,,,1661016088750.0,847397278.0039921,,32
2025-03-19,82780.03048688271,,,,1669792795306.25,847397278.0039921,,32
2025-03-19,82780.03048688271,,,,1698825344125.0,847397278.0039921,,32
2025-03-20,86815.44109470697,,,,1715835593118.75,791647457.0826768,,49
2025-03-20,86815.44109470697,,,,1699634972750.0,791647457.0826768,,49
2025-03-20,86815.44109470697,,,,1707400217043.75,791647457.0826768,,49
2025-03-20,86815.44109470697,,,,1715264732212.5,791647457.0826768,,49
2025-03-20,86815.44109470697,,,,1678410849143.75,791647457.0826768,,49
2025-03-21,84270.84358966233,,,,1681176498600.0,808372403.3590714,,31
2025-03-21,84270.84358966233,,,,1666800592318.75,808372403.3590714,,31
2025-03-21,84270.84358966233,,,,1669586052787.5,808372403.3590714,,31
2025-03-21,84270.84358966233,,,,1670506581268.75,808372403.3590714,,31
2025-03-21,84270.84358966233,,,,1674323769325.0,808372403.3590714,,31
2025-03-22,84009.532917822,,,,1673121430687.5,836247313.819729,,32
2025-03-22,84009.532917822,,,,1675311765500.0,836247313.819729,,32
2025-03-22,84009.532917822,,,,1670478634825.0,836247313.819729,,32
2025-03-22,84009.532917822,,,,1673938766500.0,836247313.819729,,32
2025-03-22,84009.532917822,,,,1668986540250.0,836247313.819729,,32
2025-03-23,83793.30854192551,,,,1672724466350.0,876571559.8921037,,30
2025-03-23,83793.30854192551,,,,1675311665287.5,876571559.8921037,,30
2025-03-23,83793.30854192551,,,,1682144825150.0,876571559.8921037,,30
2025-03-23,83793.30854192551,,,,1688402662868.75,876571559.8921037,,30
2025-03-23,83793.30854192551,,,,1690394741962.5,876571559.8921037,,30
2025-03-24,85787.70914901773,,,,1706037520906.25,870857131.0489082,,45
2025-03-24,85787.70914901773,,,,1725847099600.0,870857131.0489082,,45
2025-03-24,85787.70914901773,,,,1735795742425.0,870857131.0489082,,45
2025-03-24,85787.70914901773,,,,1754692944950.0,870857131.0489082,,45
2025-03-24,85787.70914901773,,,,1747042424062.5,870857131.0489082,,45
2025-03-25,87327.72969669085,,,,1730681379375.0,842582548.8719956,,46
2025-03-25,87327.72969669085,,,,1719518697212.5,842582548.8719956,,46
2025-03-25,87327.72969669085,,,,1736432276906.25,842582548.8719956,,46
2025-03-25,87327.72969669085,,,,1744734378562.5,842582548.8719956,,46
